學生編號,年齡,性別,學業程度／年級,國家,每日平均使用社群媒體時數,"	最常使用的社群平台",是否影響學業表現,每晚睡眠時數,心理健康分數,感情狀況,"	是否因社群媒體產生衝突",成癮程度分數
1,19,女性,大學,Bangladesh,5.2,Instagram,Yes,6.5,6,戀愛中,3,8
2,22,男性,研究生,India,2.1,Twitter,No,7.5,8,單身,0,3
3,20,女性,大學,USA,6,TikTok,Yes,5,5,關係複雜,4,9
4,18,男性,高中,UK,3,YouTube,No,7,7,單身,1,4
5,21,男性,研究生,Canada,4.5,Facebook,Yes,6,6,戀愛中,2,7
6,19,女性,大學,Australia,7.2,Instagram,Yes,4.5,4,關係複雜,5,9
7,23,男性,研究生,Germany,1.5,LinkedIn,No,8,9,單身,0,2
8,20,女性,大學,Brazil,5.8,Snapchat,Yes,6,6,戀愛中,2,8
9,18,男性,高中,Japan,4,TikTok,No,6.5,7,單身,1,5
10,21,女性,研究生,South Korea,3.3,Instagram,No,7,7,戀愛中,1,4
11,19,男性,大學,France,4.8,Snapchat,Yes,6.2,5,關係複雜,3,7
12,20,女性,大學,Spain,5.5,TikTok,Yes,5.8,6,戀愛中,2,8
13,22,男性,研究生,Italy,2.8,LinkedIn,No,7.2,8,單身,1,4
14,18,女性,高中,Mexico,6.5,Instagram,Yes,5.5,5,單身,4,9
15,21,男性,大學,Russia,3.7,YouTube,No,6.8,7,戀愛中,2,5
16,20,女性,大學,China,4.2,TikTok,Yes,6,6,關係複雜,3,7
17,24,男性,研究生,Sweden,2,LinkedIn,No,7.8,8,單身,0,3
18,19,女性,高中,Norway,5,Instagram,Yes,5.7,5,戀愛中,3,8
19,21,男性,大學,Denmark,3.5,Facebook,No,6.7,7,單身,1,5
20,20,女性,大學,Netherlands,4.7,Snapchat,Yes,5.9,6,關係複雜,3,7
21,18,男性,高中,Belgium,5.3,TikTok,Yes,5.5,5,單身,4,8
22,23,女性,研究生,Switzerland,2.5,LinkedIn,No,7.3,8,戀愛中,1,4
23,19,男性,大學,Austria,4.9,Instagram,Yes,5.8,6,關係複雜,3,7
24,20,女性,大學,Portugal,5.7,TikTok,Yes,5.4,5,單身,4,8
25,22,男性,研究生,Greece,3.2,Facebook,No,6.9,7,戀愛中,2,5
26,19,女性,高中,Ireland,6.1,Instagram,Yes,5.2,5,關係複雜,4,9
27,21,男性,大學,New Zealand,3.8,YouTube,No,6.6,7,單身,1,5
28,20,女性,大學,Singapore,4.4,TikTok,Yes,5.9,6,戀愛中,3,7
29,24,男性,研究生,Malaysia,2.2,LinkedIn,No,7.4,8,單身,0,3
30,19,女性,高中,Thailand,5.9,Instagram,Yes,5.3,5,關係複雜,4,8
31,21,男性,大學,Vietnam,3.6,Facebook,No,6.7,7,單身,1,5
32,20,女性,大學,Philippines,4.8,Snapchat,Yes,5.7,6,戀愛中,3,7
33,18,男性,高中,Indonesia,5.4,TikTok,Yes,5.4,5,關係複雜,4,8
34,23,女性,研究生,Taiwan,2.6,LinkedIn,No,7.2,8,單身,1,4
35,19,男性,大學,Hong Kong,4.7,Instagram,Yes,5.8,6,戀愛中,3,7
36,20,女性,大學,Turkey,5.6,TikTok,Yes,5.5,5,關係複雜,4,8
37,22,男性,研究生,Israel,3.1,Facebook,No,6.8,7,單身,1,5
38,19,女性,高中,UAE,6.2,Instagram,Yes,5.1,5,戀愛中,4,9
39,21,男性,大學,Egypt,3.9,YouTube,No,6.5,7,關係複雜,2,6
40,20,女性,大學,Morocco,4.5,TikTok,Yes,5.8,6,單身,3,7
41,24,男性,研究生,South Africa,2.3,LinkedIn,No,7.3,8,戀愛中,1,4
42,19,女性,高中,Nigeria,5.8,Instagram,Yes,5.4,5,關係複雜,4,8
43,21,男性,大學,Kenya,3.7,Facebook,No,6.6,7,單身,2,5
44,20,女性,大學,Ghana,4.6,Snapchat,Yes,5.7,6,戀愛中,3,7
45,18,男性,高中,Argentina,5.5,TikTok,Yes,5.3,5,單身,4,8
46,23,女性,研究生,Chile,2.7,LinkedIn,No,7.1,8,關係複雜,1,4
47,19,男性,大學,Colombia,4.8,Instagram,Yes,5.9,6,戀愛中,3,7
48,20,女性,大學,Peru,5.5,TikTok,Yes,5.6,5,單身,4,8
49,22,男性,研究生,Venezuela,3.3,Facebook,No,6.7,7,戀愛中,2,5
50,19,女性,高中,Ecuador,6.3,Instagram,Yes,5.2,5,關係複雜,4,9
51,21,男性,大學,Uruguay,3.8,YouTube,No,6.4,7,單身,2,6
52,20,女性,大學,Paraguay,4.7,TikTok,Yes,5.8,6,戀愛中,3,7
53,24,男性,研究生,Bolivia,2.4,LinkedIn,No,7.2,8,關係複雜,1,4
54,19,女性,高中,Costa Rica,5.7,Instagram,Yes,5.5,5,單身,4,8
55,21,男性,大學,Panama,3.6,Facebook,No,6.5,7,戀愛中,2,5
56,20,女性,大學,Jamaica,4.9,Snapchat,Yes,5.6,6,關係複雜,3,7
57,18,男性,高中,Trinidad,5.6,TikTok,Yes,5.2,5,單身,4,8
58,23,女性,研究生,Bahamas,2.8,LinkedIn,No,7,8,戀愛中,1,4
59,19,男性,大學,Iceland,4.6,Instagram,Yes,5.9,6,關係複雜,3,7
60,20,女性,大學,Finland,5.4,TikTok,Yes,5.7,5,單身,4,8
61,22,男性,研究生,Poland,3.1,Facebook,No,7.1,7,單身,1,5
62,19,女性,大學,Romania,5.6,Instagram,Yes,5.6,5,戀愛中,3,8
63,20,男性,大學,Hungary,4.2,TikTok,Yes,6,6,關係複雜,3,7
64,18,女性,高中,Czech Republic,6.1,Snapchat,Yes,5.2,4,單身,4,9
65,23,男性,研究生,Slovakia,2.3,LinkedIn,No,7.4,8,戀愛中,1,3
